0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:25:31 +0000] "GET /BTS/Document/Download?file= HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:25:31 +0000] "GET /BTS/images/sort_both.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:25:31 +0000] "GET /BTS/images/sort_asc.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:25:31 +0000] "GET /BTS/Controle/List?classeId=28 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:25:31 +0000] "GET /BTS/ControleNote/List?controleId=28 HTTP/1.1" 200 3404
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:25:40 +0000] "POST /BTS/ControleNote/Add HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:25:40 +0000] "GET /BTS/ControleNote/List?controleId=28 HTTP/1.1" 200 3404
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:25:49 +0000] "GET /BTS/E.Professeur/Controle?id=28 HTTP/1.1" 200 54081
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:25:49 +0000] "GET /BTS/css/bootstap.min.css HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:25:49 +0000] "GET /BTS/Document/Download?file= HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:25:50 +0000] "GET /BTS/images/sort_both.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:25:50 +0000] "GET /BTS/images/sort_asc.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:25:50 +0000] "GET /BTS/Controle/List?classeId=28 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:25:50 +0000] "GET /BTS/ControleNote/List?controleId=28 HTTP/1.1" 200 3404
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:26:05 +0000] "GET /BTS/Logout HTTP/1.1" 200 17440
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:26:05 +0000] "GET /BTS/images/filieres/cpi1.jpg HTTP/1.1" 404 776
